第 1 周|Mar 19|Course#2 Introduction|Computations Optimization|2 min
第 6 周|Apr 23|Spark Execution Model & RDD Internals|Welcome|1 min
第 5 周|Apr 16|Connected components|Introduction|5 min
第 4 周|Apr 9|Graph Representations|Graph examples|4 min
第 3 周|Apr 2|Introducing DataFrame and SQL|Advantages of Spark SQL|5 min
第 1 周|Mar 19|Course#2 Introduction|What is BigData Analysis?|1 min
第 1 周|Mar 19|Course#2 Introduction|Tools For BigData Analysis|1 min
第 1 周|Mar 19|Course#2 Introduction|Graph Data Analysis|2 min
第 1 周|Mar 19|Meet Your Teachers|Meet Alexey Dral|2 min
第 1 周|Mar 19|Meet Your Teachers|Meet Pavel Mezentsev|37 sec
第 1 周|Mar 19|Meet Your Teachers|Meet Natalia Pritykovskaya|40 sec
第 1 周|Mar 19|Meet Your Teachers|Meet Pavel Klemenkov|40 sec
第 1 周|Mar 19|Hive: SQL over Hadoop MapReduce|Analytics: Business Use Cases|2 min
第 1 周|Mar 19|Hive: SQL over Hadoop MapReduce|HTTP Web Service: Access Log Format|4 min
第 1 周|Mar 19|Hive: SQL over Hadoop MapReduce|Business Use Cases: Solution with Hive|6 min
第 1 周|Mar 19|Hive: SQL over Hadoop MapReduce|(optional) SQL: likbez|10 min
第 6 周|Apr 23|Spark Execution Model & RDD Internals|Spark Execution Model|5 min
第 6 周|Apr 23|Spark Execution Model & RDD Internals|Shuffle. Where to send data?|5 min
第 6 周|Apr 23|Spark Execution Model & RDD Internals|Shuffle. How to send data?|4 min
第 6 周|Apr 23|Spark Execution Model & RDD Internals|Optimizing Functions|4 min
第 6 周|Apr 23|Spark Execution Model & RDD Internals|PageRank Optimization|5 min
第 6 周|Apr 23|Spark Execution Model & RDD Internals|Spark Execution Model & RDD Internals|5 questions
第 6 周|Apr 23|Spark SQL|Spark SQL. Motivation|8 min
第 6 周|Apr 23|Spark SQL|Catalyst|5 min
第 6 周|Apr 23|Spark SQL|Catalyst Optimization Example|5 min
第 6 周|Apr 23|Spark SQL|Joins|3 min
第 6 周|Apr 23|Spark SQL|Optimizing Joins|5 min
第 6 周|Apr 23|Spark SQL|UDF Optimization|5 min
第 5 周|Apr 16|Connected components|Algorithm|9 min
第 5 周|Apr 16|Connected components|GraphFrames|8 min
第 5 周|Apr 16|Connected components|Connected Components|6 questions
第 5 周|Apr 16|PageRank|Random Walk|5 min
第 5 周|Apr 16|PageRank|Page Rank Algorithm|10 min
第 5 周|Apr 16|PageRank|RDD Implementation|4 min
第 5 周|Apr 16|PageRank|GraphFrames API|4 min
第 5 周|Apr 16|PageRank|PageRank|8 questions
第 5 周|Apr 16|Label Propagation Algorithm (LPA)|Taste Graph. Part I|10 min
第 4 周|Apr 9|Graph Representations|Graph representation|7 min
第 4 周|Apr 9|Graph Representations|Counting common friends. Part I|2 min
